19,39, Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
27,36, Ang Mo Kio MRT Station, Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station
27,36, Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station,  Dakota MRT Station
27,35, Marymount MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station
27,46, Yio Chu Kang MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
27,45, Marymount MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
27,50, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Bishan MRT Station,  Serangoon MRT Station, Kembangan MRT Station
27,49, Bishan MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kembangan MRT Station
27,46, Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station,  Kovan MRT Station
27,48, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station
27,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station
27,43, Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station
27,38, Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station
27,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,  Eunos MRT Station
28,35, Ang Mo Kio MRT Station,  Bishan MRT Station, Kembangan MRT Station
28,37, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station, Kembangan MRT Station
28,38, Bishan MRT Station,  Marymount MRT Station,  Dakota MRT Station, Kembangan MRT Station
28,48, Toa Payoh MRT Station,  Marymount MRT Station,  Kovan MRT Station, Kembangan MRT Station
28,48, Somerset MRT Station,  Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,37, Somerset MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,38, Yio Chu Kang MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,40, Yio Chu Kang MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,36, Somerset MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,41, Toa Payoh MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Kovan MRT Station
28,46,Bishan MRT Station,  Ang Mo Kio MRT Station,  Kovan MRT Station,  Dakota MRT Station
28,47, Toa Payoh MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station, Kovan MRT Station
28,46, Toa Payoh MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station,  Eunos MRT Station
28,38, Somerset MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kovan MRT Station
28,41,Kovan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,41, Toa Payoh MRT Station,  Marymount MRT Station, Kovan MRT Station,  Eunos MRT Station
28,47, Marymount MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station,  Dakota MRT Station
28,43, Yio Chu Kang MRT Station, Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,39,Kovan MRT Station,  Serangoon MRT Station,  Somerset MRT Station,  Dakota MRT Station
28,40, Marymount MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Dakota MRT Station
28,42, Marymount MRT Station, Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,37, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Somerset MRT Station,  Dakota MRT Station
28,36,Ang Mo Kio MRT Station,  Somerset MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,50, Ang Mo Kio MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,43, Marymount MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kembangan MRT Station
28,45, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,45, Yio Chu Kang MRT Station,  Marymount MRT Station,  Bishan MRT Station,  Serangoon MRT Station, Kembangan MRT Station
28,44, Marymount MRT Station,  Bishan MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,46, Bishan MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
28,46,Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Eunos MRT Station
28,48, Yio Chu Kang MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Eunos MRT Station
28,50, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Kovan MRT Station,  Eunos MRT Station
28,42, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
28,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station
28,41, Toa Payoh MRT Station, Bishan MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
28,43, Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,43, Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station
28,39, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station
28,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Eunos MRT Station
28,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,  Dakota MRT Station
28,42,Bishan MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Eunos MRT Station
28,44, Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,37, Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station,  Eunos MRT Station
28,44, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station
28,46, Yio Chu Kang MRT Station, Ang Mo Kio MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,40, Beauty World MRT Station,  Kovan MRT Station, Kembangan MRT Station
29,36, Somerset MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
29,43, Ang Mo Kio MRT Station,  Bishan MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,36, Bishan MRT Station,  Serangoon MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,37, Somerset MRT Station,  Bishan MRT Station,  Marymount MRT Station, Kembangan MRT Station
29,48, Somerset MRT Station,  Dakota MRT Station,  Kovan MRT Station, Kembangan MRT Station
29,37, Yio Chu Kang MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
29,35, Somerset MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station, Kembangan MRT Station
29,36, Toa Payoh MRT Station,  Serangoon MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,38, Marymount MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station, Kembangan MRT Station
29,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,42, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,44, Ang Mo Kio MRT Station,  Marymount MRT Station,  Dakota MRT Station, Kembangan MRT Station
29,40, Kovan MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station
29,42, Yio Chu Kang MRT Station, Bishan MRT Station,  Kovan MRT Station,  Dakota MRT Station
29,38, Somerset MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station
29,35,Bishan MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,  Dakota MRT Station
29,35, Somerset MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
29,40, Yio Chu Kang MRT Station, Kovan MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station
29,42, Toa Payoh MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Kovan MRT Station
29,44, Somerset MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station
29,41, Yio Chu Kang MRT Station, Kovan MRT Station,  Serangoon MRT Station,  Dakota MRT Station
29,41,Kovan MRT Station,  Somerset MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,36, Marymount MRT Station, Ang Mo Kio MRT Station,  Somerset MRT Station,  Dakota MRT Station
29,48, Toa Payoh MRT Station,  Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kembangan MRT Station
29,46, Yio Chu Kang MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,49, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,47, Yio Chu Kang MRT Station,  Bishan MRT Station,  Marymount MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,44, Bishan MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,50, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
29,44, Toa Payoh MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,46, Marymount MRT Station,  Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,50, Ang Mo Kio MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,50, Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Eunos MRT Station, Kembangan MRT Station
29,47, Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station,  Kovan MRT Station
29,48, Toa Payoh MRT Station, Bishan MRT Station,  Marymount MRT Station,  Kovan MRT Station,  Eunos MRT Station
29,47,Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,47, Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Dakota MRT Station
29,49, Marymount MRT Station, Bishan MRT Station,  Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station
29,37, Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
