27,36,Yew Tee MRT Station,  Bishan MRT Station,  Pioneer MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,43,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,41,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Woodlands MRT Station,  Jurong East MRT Station,  Dakota MRT Station
27,41,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,35,Yew Tee MRT Station,  Bishan MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,45, Buangkok MRT Station, Yew Tee MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
27,49,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station,  Woodlands MRT Station,  Toa Payoh MRT Station
27,43, Ang Mo Kio MRT Station, Yew Tee MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Eunos MRT Station
27,38,Yew Tee MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,43, Sengkang MRT Station, Pioneer MRT Station,  Somerset MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,42, Ang Mo Kio MRT Station, Pioneer MRT Station,  Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,35, Dakota MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Eunos MRT Station
27,40, Ang Mo Kio MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Dakota MRT Station
27,40, Marymount MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Bishan MRT Station,  Sengkang MRT Station
27,40, Ang Mo Kio MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,36, Dakota MRT Station,  Marymount MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Buangkok MRT Station
27,43, Marymount MRT Station, Pioneer MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
27,37, Bishan MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,47, Kovan MRT Station,  Toa Payoh MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Eunos MRT Station
27,37, Toa Payoh MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,43, Dakota MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Bishan MRT Station,  Sengkang MRT Station
27,49, Ang Mo Kio MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Marymount MRT Station,  Dakota MRT Station
27,37, Bishan MRT Station, Pioneer MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
27,35, Bishan MRT Station,  Woodlands MRT Station,  Jurong East MRT Station, Somerset MRT Station,  Dakota MRT Station
