Score,Route Travel Time,Number of pax served,Route,,,,
1.176666667,35,38,Bukit Panjang MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station,
1.176666667,35,38, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.176666667,35,38, Beauty World MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.176666667,41,43,Clementi MRT Station,  Somerset MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station
1.176666667,41,43, Choa Chu Kang MRT Station,  Woodlands MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.176666667,41,43, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Somerset MRT Station
1.176666667,41,43, Choa Chu Kang MRT Station,  Bukit Panjang MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.176666667,41,43, Chinese Garden MRT Station,  Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Ang Mo Kio MRT Station
1.176666667,41,43, Beauty World MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Somerset MRT Station
1.176666667,41,43, Yew Tee MRT Station,  Choa Chu Kang MRT Station, Woodlands MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station
